Close,Adj Close
50.421799,32.732586
50.4062,32.722462
50.3125,32.661636
50.109299,32.52972
50.234299,32.61087
50.5625,32.823921
50.5625,32.823921
50.75,32.945652
50.703098,32.915195
50.796799,32.976009
50.625,32.864506
50.796799,32.976009
51.078098,33.158638
50.7812,32.965893
50.609299,32.854305
50.5625,32.823921
50.640598,32.874622
50.890598,33.036911
51.484299,33.42234
51.3437,33.331051
51.390598,33.3615
51.515598,33.442638
51.5937,33.493359
51.453098,33.402077
51.5625,33.473103
52.2812,33.939659
52.25,33.919395
52.1875,33.878834
52.5625,34.122269
52.515598,34.091816
52.578098,34.132408
52.7187,34.223667
52.75,34.244003
53,34.406288
53.0312,34.426548
52.828098,34.294693
52.0625,33.797707
52.0937,33.817932
52.671799,34.193222
53.1562,34.507702
53.125,34.487442
53.171799,34.517803
52.5625,34.122269
52.546799,34.11208
53.640598,34.822144
53.5,34.730892
53.546799,34.761257
53.875,34.974331
53.7812,34.913445
53.5,34.730892
53.375,34.649734
53.0625,34.446857
53.359299,34.639534
53.9375,35.014896
53.890598,34.984444
54.125,35.136612
53.9687,35.240902
54.578098,35.638824
54.4375,35.547012
54.4062,35.526569
55.125,35.995945
55.015598,35.924496
54.359299,35.495964
54.25,35.424583
54.5312,35.608192
54.4375,35.547012
54.4062,35.526569
54.609299,35.659184
54.8125,35.791889
55.515598,36.251003
55.765598,36.414238
55.796799,36.434612
55.5312,36.261185
56.2187,36.710121
56.0937,36.628502
56.046799,36.597858
56.359299,36.801926
55.875,36.485672
55.265598,36.087749
55.4687,36.220375
55.4062,36.179569
55.8125,36.444855
56.234299,36.720291
56.1875,36.689747
56.6562,36.995811
56.296799,36.761093
56.1562,36.6693
56.0625,36.608131
55.9375,36.526489
55.921799,36.516243
55.984299,36.55706
56.109299,36.638672
56.109299,36.638672
56.0937,36.628502
55.9687,36.54686
55.6562,36.342815
56.1562,36.6693
56.046799,36.597858
56.203098,36.699932
56.109299,36.638672
56.171799,36.679497
56.015598,36.577492
56.125,36.648918
55.921799,36.516243
55.984299,36.55706
56.296799,36.761093
56.0937,36.628502
56.234299,36.720291
56.359299,36.801926
