Close,Net Chg,Open,High,Low,Tick Count,Volume
140.49,0.46,140.47,140.7,140.05,116663,57170728
140.13,-0.36,140.485,140.74,140.07,61231,35993568
138.33,-1.8,139.83,139.86,138,186199,98231465
138.81,0.48,138.33,139.03,138.18,102041,54621397
138.74,-0.07,139.3,139.62,138.72,164003,91723174
138.05,-0.69,138.74,138.76,137.23,242092,148383405
138.71,0.66,137.77,139.16,137.7,206800,118687356
138.04,-0.67,138.71,138.99,137.46,169712,101976313
140.03,1.99,138.58,140.2,138.32,191243,113839595
140.65,0.62,140.03,140.83,139,138134,82951312
138.06,-2.59,139.55,139.8,137.78,284053,168384887
136.38,-1.68,138.06,138.34,136.34,212924,135584569
136.41,0.03,136.86,137.5,136.11,174584,108631885
136.65,0.24,136.4,136.75,135.41,162797,97140386
136.99,0.34,135.67,137.1,135.52,269136,145226226
136.14,-0.85,137,137.01,135.81,137953,72764908
134.82,-1.32,135.97,136.085,134.31,275989,158232303
133.95,-0.87,134.81,135.15,133.93,149969,82702816
135.09,1.14,134.6,135.77,134.53,206357,107467920
134.44,-0.65,135.09,135.87,133.52,188604,100761618
135.34,0.9,135.17,136.35,134.61,261917,138002773
136.4,1.06,135.34,136.42,134.87,131395,71007422
136.73,0.33,135.55,136.76,135.46,188482,96851158
136.41,-0.32,136.74,136.93,136.295,117406,60072489
136.21,-0.2,137.07,137.12,135.7,199483,108124028
135.48,-0.73,136.2,136.36,135.45,104280,55089809
133.99,-1.49,134.69,135.08,133.78,224833,136832392
134.35,0.36,133.99,134.9,133.71,163654,96090867
134.46,0.11,134.15,134.67,133.5,300390,160946000
134.69,0.23,134.46,135.24,133.97,164284,105598932
132.14,-2.55,132.85,133.09,132.01,252680,142515110
131.61,-0.53,132.14,132.5,131.22,178643,99358242
131.8,0.19,132.04,132.23,131.32,170500,88060136
131.6,-0.2,131.79,132.09,131.36,87286,45191043
132,0.4,131.05,132.38,130.19,286745,158460910
131.24,-0.76,131.99,132.44,130.97,146077,75954588
132.37,1.13,131.72,132.73,131.62,177343,89503180
131.99,-0.38,132.36,133.4,131.74,275178,145099509
128.94,-3.05,130.57,131.42,128.86,316339,162657425
128.2,-0.74,128.94,129.57,128.17,197290,102187524
127.37,-0.83,128.28,128.86,127.26,281888,153079082
127.85,0.48,127.37,128.27,127.035,198201,111213861
128.42,0.57,127.89,128.91,127.3,250177,138729995
127.79,-0.63,128.42,128.63,127.25,150062,86539064
126.56,-1.23,126.52,128.24,125.93,354965,191877291
128.37,1.81,126.57,128.46,126.23,258774,140275818
127.94,-0.43,128.79,129.16,127.49,281706,142480164
126.06,-1.88,127.94,128.41,126.04,221027,117487198
126.31,0.25,127.11,127.11,124.99,363616,188922820
124.37,-1.94,126.79,127.34,124,353194,179714338
125.08,0.71,124.36,126.9,123.92,271603,145538139
125.42,0.34,124.99,125.92,124.2,365288,197412684
127.29,1.87,125.41,127.39,124.87,212803,126438686
126.67,-0.62,127.5,127.74,126.39,306606,169814179
124.46,-2.21,126.67,126.89,124.39,213220,120780442
125.23,0.77,124.43,125.37,123.65,438545,221958886
125.43,0.2,125.24,125.79,123.58,322666,158463696
123,-2.43,123.97,125,122.49,488048,234398168
124.03,1.03,123.01,125.9,122.96,400790,194072953
122.82,-1.21,125.26,125.5,122.4,384316,183995317
122.88,0.06,122.82,123.79,122.51,212610,108004355
122.31,-0.57,121.8,123.35,120.02,617693,320378056
121.4,-0.91,122.31,123.49,121.4,234165,121424348
123.21,1.81,121.45,123.34,121.1,419435,195869480
124.47,1.26,123.22,124.57,122.68,214723,110326049
125.535,1.065,125.14,125.86,124.09,402485,192758437
125.94,0.405,125.53,126.26,124.87,231399,112421269
125.51,-0.43,126.17,126.29,125.15,278286,139327304
126,0.49,125.5,126.14,125.35,126345,58498755
126.14,0.14,126.51,126.8,125.62,236636,113619944
126,-0.14,126.14,126.38,125.54,127720,68699674
126.05,0.05,125.15,126.35,124.85,294457,157621740
127.67,1.62,126.05,127.8,125.74,194415,106580963
128.06,0.39,127.89,129.15,127.55,352297,183553623
128.22,0.16,128.06,129.06,127.65,192606,94881958
126.66,-1.56,128.34,128.41,126.42,276259,134382020
125.41,-1.25,126.65,126.73,125.16,198492,93389242
125.52,0.11,125.89,126.49,125.28,260534,123877623
125.67,0.15,125.52,125.93,125.17,136543,61221145
124.369,-1.301,125.51,126.06,124.2,223461,103465238
123.57,-0.799,124.36,124.56,123.42,142371,74181550
125.49,1.92,123.98,125.5,123.84,280574,143795072
