Last Price,Ask Price,Bid Price,UBB(2),BollMA (20),LBB(2),EMAVG (5),SMAVG (200),SPY US Equity - Volume,SMAVG (15),BollW (SPY US),%B (SPY US),"MACD(12,26)",Sig(9),Diff,RSI,Moving Average,SPX Index - Last Price,CBOE VIX index- Last Price
91.34,91.6,91.47,90.7793,87.937,85.0947,89.8438,88.349,59870000,47540680,6.4644,1.0986,1.0899,0.8433,0.2466,64.1524,57.1524,911.37,20.7
92.18,92.15,91.99,91.5504,88.17,84.7896,90.6225,88.3196,44254100,46896632,7.668,1.0931,1.2743,0.9295,0.3448,66.3585,57.7907,919.02,20.8
91.36,91.55,90.01,91.9953,88.384,84.7727,90.8683,88.2984,50038400,46865340,8.1719,0.912,1.3388,1.0114,0.3275,62.3262,58.2539,911.43,20.33
90.23,90.2,90.13,92.1882,88.538,84.8878,90.6556,88.2889,43926700,46525220,8.2455,0.7318,1.284,1.0659,0.2181,57.1706,58.2372,898.81,20.8
91.79,91.8,91.51,92.6015,88.792,84.9825,91.0337,88.2835,46471900,47205848,8.5808,0.8935,1.3509,1.1229,0.228,61.861,58.6059,914.84,20.84
91.79,92.01,91.97,92.6842,89.1445,85.6048,91.2858,88.2832,52347400,46040132,7.9415,0.8737,1.3878,1.1759,0.212,61.861,58.9413,917.84,20.76
91.91,91.94,91.86,92.8712,89.438,86.0048,91.4939,88.2811,48919400,46651168,7.6773,0.86,1.4106,1.2228,0.1877,62.23,59.6621,916.92,21.21
91.9,92.15,92.05,93.1638,89.627,86.0902,91.6292,88.2878,50419000,46299508,7.8922,0.8213,1.4115,1.2606,0.1509,62.176,60.2501,916.3,21.59
93.21,93.32,93.26,93.6482,89.9025,86.1568,92.1562,88.3001,50239900,46838448,8.3328,0.9415,1.5007,1.3086,0.1921,66.3005,61.2467,930.08,20.63
93.03,92.92,92.9,94.0403,90.143,86.2457,92.4474,88.3263,35456200,46019608,8.6469,0.8704,1.539,1.3547,0.1844,65.2477,61.7006,926.55,21.13
93.91,93.75,93.65,94.5357,90.436,86.3363,92.935,88.3723,44587300,46527568,9.0665,0.9237,1.6218,1.4081,0.2137,67.929,62.1587,934.39,20.8
93.39,93.23,93.07,94.8521,90.696,86.5399,93.0866,88.4282,41443000,45957808,9.1649,0.8241,1.6266,1.4518,0.1748,64.7499,62.8839,929.62,21
92.45,92.71,92.54,94.828,90.967,87.106,92.8744,88.4907,40774900,45221440,8.4887,0.6921,1.5369,1.4688,0.0681,59.3431,62.9181,920.27,21.24
93.73,93.75,93.61,94.9735,91.278,87.5825,93.1596,88.5358,33653700,44965848,8.0972,0.8318,1.5512,1.4853,0.0659,63.7785,63.2489,933.41,19.69
94.88,94.75,94.74,95.1639,91.6645,88.1651,93.7331,88.5902,35688500,45206028,7.6353,0.9594,1.6365,1.5155,0.1209,67.2367,63.4692,945.11,19.52
94.71,94.69,93.75,95.459,91.9525,88.446,94.0587,88.6357,39299000,43834628,7.6268,0.8932,1.6711,1.5467,0.1244,66.2301,63.46,942.3,19.91
94.51,94.5,94.33,95.7155,92.189,88.6625,94.2091,88.6594,32236900,43033480,7.6505,0.8291,1.6632,1.57,0.0932,64.9972,63.6508,939.28,20
95.11,95.02,94.95,95.783,92.532,89.281,94.5094,88.6803,43939900,42626912,7.0267,0.8965,1.6859,1.5931,0.0928,66.9829,64.3517,946.66,19.24
94.87,94.93,94.83,95.8981,92.7975,89.6969,94.6296,88.6988,38914500,42292768,6.6824,0.8342,1.6654,1.6076,0.0578,65.3851,64.6034,944.3,18.4
92.65,92.58,92.49,95.6946,92.9475,90.2004,93.9697,88.7182,43242300,42077460,5.911,0.4459,1.4532,1.5767,-0.1235,52.8308,63.9584,920.77,20.51
92.46,92.53,92.46,95.6614,93.0035,90.3456,93.4665,88.7465,55457600,42284808,5.7158,0.3978,1.2552,1.5124,-0.2572,51.9121,63.2214,919.73,21.29
92.65,92.62,92.52,95.6636,93.027,90.3904,93.1943,88.7909,49859600,42347488,5.6685,0.4285,1.101,1.4301,-0.3291,52.7961,62.5514,923.42,21.21
93.57,93.92,93.65,95.6685,93.1375,90.6065,93.3196,88.8258,38463900,41550480,5.4351,0.5854,1.041,1.3523,-0.3113,56.9251,61.8817,931.87,19.78
93.76,93.76,93.74,95.4746,93.314,91.1534,93.4664,88.8541,26158600,39945060,4.6309,0.6032,0.9973,1.2813,-0.284,57.7471,61.346,933.22,19.17
95.4,95.5,95.4,95.718,93.4945,91.271,94.1109,88.8764,43739500,40497280,4.7563,0.9285,1.0825,1.2415,-0.159,64.1131,61.0734,951.48,19.99
95.67,95.66,95.57,95.9598,93.6885,91.4172,94.6306,88.8983,37752100,40041600,4.8486,0.9362,1.1585,1.2249,-0.0665,65.0468,61.0946,953.22,20.03
95.42,95.49,95.45,96.1006,93.864,91.6274,94.8937,88.9223,50982100,40677540,4.7657,0.8478,1.1848,1.2169,-0.0321,63.4019,61.3845,949.64,20.43
96.95,97.05,97,96.5415,94.1165,91.6915,95.5792,88.9622,52546300,41462300,5.1532,1.0842,1.314,1.2363,0.0777,68.6301,61.7311,963.59,19.47
97.35,97.1,96,97.0868,94.3235,91.5602,96.1694,88.9878,50711700,42599500,5.8593,1.0476,1.4322,1.2755,0.1567,69.843,61.9172,967,20.85
97.75,97.93,97.88,97.6298,94.5595,91.4892,96.6963,89.0091,39555300,42857288,6.4939,1.0196,1.5404,1.3285,0.2119,71.0486,62.2614,971.56,20.84
99.16,99.15,99.09,98.4689,94.822,91.1751,97.5175,89.0388,49422500,43532188,7.6921,1.0948,1.72,1.4068,0.3133,74.8631,62.9661,986.24,20.62
99.65,99.97,99.85,99.2774,95.135,90.9926,98.2283,89.06,46432100,44478532,8.7085,1.045,1.8803,1.5015,0.3788,76.0444,63.6134,990.14,20.83
99.26,99.35,99.12,99.7949,95.4755,91.1561,98.5722,89.0844,60401100,45575948,9.0482,0.9381,1.9533,1.5919,0.3615,73.0999,64.1644,987.76,21.25
98.25,98.27,98.12,100.1041,95.7015,91.2989,98.4648,89.0969,38400100,45541652,9.2007,0.7894,1.9077,1.655,0.2527,65.9754,65.1033,975.93,22.15
99.25,99.17,99.03,100.5649,95.92,91.275,98.7265,89.1097,30120200,44666848,9.6851,0.8585,1.93,1.71,0.22,69.1784,66.3366,984.84,20.64
100.3,100.44,100.35,101.1802,96.1995,91.2188,99.251,89.1382,37641900,43479132,10.3549,0.9116,2.0092,1.7699,0.2394,72.1437,67.7186,997.48,20.21
100.61,100.58,100.46,101.7728,96.5045,91.2362,99.704,89.165,36491400,42587920,10.9182,0.8896,2.0731,1.8305,0.2426,72.9705,68.8647,998.51,20.41
99.56,99.46,99.35,102.1154,96.727,91.3386,99.656,89.192,48640800,43266380,11.1415,0.7629,2.0158,1.8676,0.1482,65.842,69.4429,988.61,20.66
101.66,101.75,101.57,102.7894,97.0665,91.3436,100.324,89.2398,36422100,43950612,11.7916,0.9013,2.1154,1.9171,0.1983,71.7798,69.9905,1010.74,20.22
101.66,101.84,101.7,103.1966,97.517,91.8374,100.7693,89.2874,36824400,43489608,11.6485,0.8647,2.1694,1.9676,0.2018,71.7798,70.4715,1011.66,20.01
101.57,101.65,101.58,103.413,97.9725,92.532,101.0362,89.3363,35552200,43342948,11.1062,0.8306,2.1798,2.01,0.1697,71.1649,71.026,1010.09,19.76
100.02,99.88,99.85,103.2633,98.341,93.4188,100.6975,89.395,43570700,42848852,10.0106,0.6706,2.0394,2.0159,0.0235,61.4085,70.5101,994.7,19.8
99.44,99.6,99.55,103.0586,98.6345,94.2104,100.2783,89.4445,41554900,42116092,8.9708,0.591,1.8599,1.9847,-0.1248,58.1935,69.678,995.69,19.14
98.42,98.45,98.36,102.6902,98.8675,95.0448,99.6589,89.4927,34344600,41024952,7.7329,0.4415,1.6168,1.9111,-0.2944,52.9439,68.3848,981.64,20.58
98.52,98.63,98.55,102.507,99.0235,95.54,99.2793,89.5353,36237900,40803792,7.0358,0.4277,1.4158,1.8121,-0.3963,53.3879,66.8509,983.45,20.75
97.53,97.64,97.62,102.3254,99.1165,95.9076,98.6962,89.5697,47864500,40699928,6.4751,0.2528,1.1632,1.6823,-0.5191,48.5086,64.884,975.32,20.81
98.8,98.99,98.72,102.0187,99.2855,96.5523,98.7308,89.6052,33552000,39841252,5.5057,0.4112,1.0534,1.5565,-0.5031,54.2811,63.5398,985.82,19.4
97.66,97.75,97.64,101.9483,99.321,96.6937,98.3739,89.6378,54216000,39428912,5.2906,0.1839,0.8644,1.4181,-0.5537,48.9738,62.3254,976.22,19.16
97.63,97.74,97.67,101.9228,99.335,96.7472,98.1259,89.6787,33865300,39126592,5.2103,0.1706,0.7041,1.2753,-0.5712,48.8384,60.8726,974.5,19.52
98.53,98.69,98.62,101.8876,99.374,96.8604,98.2606,89.723,51418400,40546472,5.0588,0.3321,0.6423,1.1487,-0.5064,53.0316,59.5074,982.32,19.46
99.77,99.75,99.67,101.9217,99.4045,96.8873,98.7637,89.7724,34679700,40348992,5.0646,0.5726,0.6854,1.056,-0.3706,58.124,58.447,993.75,19.03
98.74,98.8,98.43,101.8897,99.359,96.8283,98.7558,89.827,30868400,39974128,5.0941,0.3777,0.6293,0.9707,-0.3414,52.9851,57.5286,985.7,19.39
